Animal,t,weight
Cat,9.345114567,13.10224155
Dog,8.42842539,14.5285074
Fox,6.532517029,11.69671865
Cat,7.419882651,11.5706958
Dog,6.484801445,12.10124803
Fox,9.703836934,12.04738869
Cat,9.956344415,8.832454179
Dog,9.867167828,14.22097593
Fox,9.477488959,16.49577243
Cat,6.922857062,9.866952806
Dog,7.700101649,13.58379539
Fox,8.500421236,13.52045785
Cat,6.913904557,11.012474
Dog,5.349593943,13.5848389
Fox,8.774395379,16.12324462
Cat,6.402522135,11.50324353
Dog,9.176622452,16.83939414
Fox,6.283926009,14.4876281
Cat,7.048719561,10.69944934
Dog,6.113078663,18.52806605
Fox,8.632384986,10.64326133
Cat,9.003469644,11.2113261
Dog,9.516793365,13.89429628
Fox,8.087429537,16.28928078
Cat,5.928347388,12.03053976
Dog,6.753721755,11.69547128
Fox,5.753339672,13.48875961
Cat,9.990581808,14.8741603
Dog,8.928122208,13.70812676
Fox,5.065984347,12.12434873
Cat,6.855098652,14.91961065
Dog,6.542621182,10.46504763
Fox,6.912660911,17.20594876
Cat,5.057830846,11.5434122
Dog,7.333369152,12.73107974
Fox,8.207934518,16.25477597
Cat,8.520751064,12.79536789
Dog,7.470788363,16.08401569
Fox,6.925195783,15.34428783
Cat,8.344721548,9.486952247
Dog,7.595134024,13.3720743
Fox,7.148611788,12.49124853
Cat,8.373610284,11.81085054
Dog,8.000982074,12.87779332
Fox,6.890796447,13.9274338
Cat,8.729674934,14.0436493
Dog,9.059186849,13.8920109
Fox,6.968376621,18.08948223
Cat,8.757216499,10.30496456
Dog,8.74094541,11.3295872
Fox,7.159675012,12.10566657
Cat,7.663441762,13.02986427
Dog,6.427556115,17.01042187
Fox,5.586992508,14.39106779
Cat,9.27333901,16.40159913
Dog,7.860305548,15.64165584
Fox,5.22837138,14.3917408
Cat,8.047909342,12.56527484
Dog,5.799155855,14.72232179
Fox,9.291487164,18.52743706
Cat,8.244661249,13.73796561
Dog,9.375960572,18.39619525
Fox,7.7211096,14.71640265
Cat,6.701419393,10.084812
Dog,6.294759336,14.8102199
Fox,8.912828873,18.24261247
Cat,6.066224765,10.29228083
Dog,6.460326198,17.54138103
Fox,5.51848054,16.95245796
Cat,8.954438281,11.51631849
Dog,8.252855761,11.99842052
Fox,7.913092388,17.02134629
Cat,6.751265887,13.55738048
Dog,9.222457994,15.42279814
Fox,6.835652292,18.8072311
Cat,6.110477951,9.914457364
Dog,6.920303316,13.76395151
Fox,6.65799809,17.70356157
Cat,9.740856732,13.8976976
Dog,6.901615937,14.23880329
Fox,6.533377745,18.53104985
Cat,9.822925812,15.88254146
Dog,6.675609821,16.1378628
Fox,8.926682218,19.79805823
Cat,7.676115307,11.44681947
Dog,8.429574211,13.9321816
Fox,8.330917671,16.1358423
Cat,7.827738941,8.987284233
Dog,5.358583719,15.28512818
Fox,5.31668576,15.26394902
Cat,7.767050153,11.25549176
Dog,9.649927718,15.86107433
Fox,7.285355413,9.687369297
Cat,7.419543443,11.84321249
Dog,6.253260634,9.0550179
Fox,9.868539161,17.3224904
Cat,6.882988839,13.08187944
Dog,7.082420943,11.35831623
Fox,5.118745084,19.61285399
Cat,8.192799432,11.03592552
Dog,6.90980151,11.64884562
Fox,5.759044157,13.72482371
Cat,8.052059896,9.890448121
Dog,5.773400567,13.612885
Fox,7.626318823,12.92176111
Cat,7.8633932,11.562703
Dog,6.024551003,14.98681884
Fox,8.443655579,13.1204492
Cat,8.800078061,12.77418555
Dog,5.323190795,9.889982354
Fox,8.204866514,20.6995446
Cat,5.186451544,12.1643128
Dog,6.6759778,15.93969372
Fox,8.399059178,18.22394743
Cat,6.360614303,13.62653606
Dog,9.886419587,13.27852603
Fox,7.754715954,19.23725175
Cat,9.667638947,10.83340834
Dog,8.004577313,14.63549449
Fox,9.181165977,18.46540431
Cat,6.273851349,11.79151906
Dog,5.8057026,9.834157975
Fox,5.98091566,18.38120258
Cat,8.195526234,10.59498165
Dog,6.301906592,13.13286387
Fox,7.712969194,16.64537277
Cat,9.080987666,12.38434167
Dog,8.839451867,15.13008241
Fox,9.857106675,13.13729753
Cat,6.349239261,10.39153404
Dog,5.676305949,12.9115546
Fox,5.661364683,13.3956051
Cat,5.874964355,12.31255072
Dog,7.512912149,15.69492253
Fox,6.730616453,13.37649017
Cat,6.690755082,13.80060694
Dog,5.770425284,13.09534462
Fox,9.559994441,16.91074085
Cat,5.864319544,9.987168661
Dog,8.337283942,12.60268835
Fox,8.511832139,14.49899758
Cat,5.509287576,11.0633068
Dog,7.064988663,13.30173347
Fox,6.437818975,16.09980411
Cat,9.253420274,12.77791473
Dog,8.724566372,15.71758201
Fox,7.257431703,14.14615085
Cat,7.216945569,9.833403373
Dog,5.509817361,13.93162346
Fox,8.393891451,16.05092999
Cat,6.495819515,15.55405072
Dog,9.121992302,14.68300311
Fox,9.260448587,18.62719899
Cat,5.784251925,8.387940179
Dog,9.501399031,10.18269545
Fox,5.895457029,12.67060693
Cat,6.750663184,8.953297718
Dog,5.328226122,14.18688505
Fox,8.86449394,20.58498332
Cat,8.781099294,12.41781797
Dog,8.886048074,14.0054887
Fox,7.803102774,10.61066653
Cat,6.176674249,13.11555938
Dog,9.595642597,18.21767781
Fox,9.996610463,16.88076284
Cat,8.954152803,11.36687536
Dog,8.860568115,14.93864978
Fox,5.43669296,13.79440244
Cat,6.085352899,11.26011443
Dog,9.863798379,11.86774324
Fox,9.180522587,17.90264898
Cat,5.937498914,11.22972195
Dog,5.705689811,11.7367621
Fox,7.278021105,16.28081262
Cat,9.763628127,10.35558082
Dog,7.372361613,13.08218602
Fox,9.434735264,16.45068708
Cat,8.754978959,10.58746738
Dog,8.913913626,13.42299261
Fox,7.888518526,17.23444758
Cat,9.513152663,13.14382765
Dog,9.412433981,12.93547167
Fox,6.310265127,15.27927143
Cat,5.970683895,12.735183
Dog,6.372939939,13.60196644
Fox,8.423781509,14.62208464
Cat,9.829599044,9.376203967
Dog,6.655832671,9.369846443
Fox,5.220584875,14.86085401
Cat,6.322906078,12.38855601
Dog,7.071229521,11.56360163
Fox,8.506470533,14.27722857
Cat,5.217186229,12.58983403
Dog,7.5408638,13.75354879
Fox,8.383829014,16.80985547
Cat,5.717124248,12.65265773
Dog,8.786953148,18.77635003
Fox,8.505096722,15.23501341
Cat,7.398137511,12.19833599
Dog,6.42789066,13.43769697
Fox,8.187898572,16.04010525
Cat,7.502714529,10.90683418
Dog,7.554064689,9.787681088
Fox,5.809154064,17.02210412
Cat,8.935298196,11.82477656
Dog,8.219981436,12.52700742
Fox,6.160810406,12.77701161
Cat,6.131054668,15.11266659
Dog,8.174714983,10.58028303
Fox,8.630175528,16.42633949
Cat,7.328251557,9.390603749
Dog,9.586663472,16.35352192
Fox,6.248262229,11.86063644
Cat,6.459751482,10.49494228
Dog,6.319828723,11.38127984
Fox,6.746384368,15.57951298
Cat,5.080080713,12.82371086
Dog,6.516969683,20.64022877
Fox,9.452825564,17.24169355
Cat,7.629785765,13.99073388
Dog,7.336252837,10.84116647
Fox,9.499263797,16.04449984
Cat,8.764719249,14.59186815
Dog,9.725942049,14.64417009
Fox,7.712183607,14.9547409
Cat,5.108345919,10.45154303
Dog,9.381359575,16.99038027
Fox,7.784044601,16.09187249
Cat,7.6126393,14.0162113
Dog,6.715829192,10.18068877
Fox,9.606529626,20.32752076
Cat,8.632572192,13.60791644
Dog,8.83771322,17.30980649
Fox,8.707262201,12.78129228
Cat,6.666571188,10.24901558
Dog,9.314256987,13.64573603
Fox,9.760479645,15.58932327
Cat,5.150819338,8.388286418
Dog,9.348025752,14.09383945
Fox,7.860140399,15.07461132
Cat,6.092246552,9.35451105
Dog,8.265980947,14.33120967
Fox,7.668074855,15.60823209
Cat,5.768565693,13.39669974
Dog,5.198071309,10.88227929
Fox,6.050742645,20.00842103
Cat,7.067371545,13.09197295
Dog,8.238387413,15.03514481
Fox,6.573351538,19.91439301
Cat,6.885827936,9.206002985
Dog,5.87140594,13.69654809
Fox,7.316683616,16.89510839
Cat,6.533862778,9.663409616
Dog,7.099047207,12.02909223
Fox,5.026073311,15.19628281
Cat,8.580008835,12.60041741
Dog,6.396361422,13.18383032
Fox,5.315271357,11.65054221
Cat,5.859881587,11.10422453
Dog,8.286422464,14.46008471
Fox,7.851970539,20.88079003
Cat,6.040627189,12.32148394
Dog,5.093384114,9.798810559
Fox,9.235134672,18.62890137
Cat,5.428519808,8.867165561
Dog,6.706363766,16.59781006
Fox,9.663982603,21.66377241
Cat,5.613288096,7.983787443
Dog,9.245828565,14.63122172
Fox,9.76181649,19.0997421
Cat,6.278216214,9.578891019
Dog,9.395699291,13.68509191
Fox,8.980478015,18.89096853
Cat,6.817126272,10.63167621
Dog,7.524459727,12.41401977
Fox,5.161039391,15.09079555
Cat,7.691599866,14.2924394
Dog,6.63368852,11.83006257
Fox,5.71310308,13.94340695
Cat,6.082174051,14.38494916
Dog,9.369609366,13.60573948
Fox,9.521410503,13.11860555
Cat,5.145468527,10.89402056
Dog,9.395735805,12.26490993
Fox,9.728733953,18.67439716
Cat,6.774832814,11.8047245
Dog,7.679382137,17.67363191
Fox,6.488318195,17.99108894
Cat,5.475763161,13.75943713
Dog,6.905552542,14.25482239
Fox,8.164049122,12.07913367
Cat,6.156578051,13.83362665
Dog,5.679114668,10.47731426
Fox,5.942088945,13.00893873
Cat,6.011090388,5.939506093
Dog,5.351137715,12.75322615
Fox,9.83530726,16.63321356
Cat,6.635855787,11.67286044
Dog,6.63376014,13.29362268
Fox,7.765078024,14.34296042
