Animal,isDark,t,weight
Cat,1,6.976813592,2.933206492
Dog,1,8.874470216,15.79246964
Werewolf,1,7.252136257,24.76053044
Cat,0,9.914968426,7.166390774
Dog,0,5.829510765,12.12412887
Werewolf,0,5.445896054,11.87938746
Cat,1,9.748135925,6.027832784
Dog,1,5.745376999,11.14869361
Werewolf,1,7.812850765,18.2532032
Cat,0,5.046665618,7.250050928
Dog,0,9.567274004,14.26612323
Werewolf,0,5.618099401,19.45075726
Cat,1,6.247847499,4.094874361
Dog,1,7.678379936,13.95225746
Werewolf,1,5.320124794,19.02713204
Cat,0,5.124293966,7.945028836
Dog,0,5.762895863,12.42548412
Werewolf,0,5.689238073,17.33708825
Cat,1,5.008062432,4.823020763
Dog,1,7.367839997,11.49444457
Werewolf,1,6.249318139,16.70576667
Cat,0,5.199047441,7.124258363
Dog,0,9.149367992,15.72570819
Werewolf,0,8.311191008,18.10683199
Cat,1,7.015144068,5.527496239
Dog,1,7.402143013,16.06005462
Werewolf,1,8.446003667,23.75954811
Cat,0,8.341567683,4.532963054
Dog,0,7.859629409,16.82421214
Werewolf,0,5.727946055,18.76945795
Cat,1,6.302164615,6.621215292
Dog,1,5.9880726,12.95074728
Werewolf,1,7.163974566,20.08367501
Cat,0,9.057261731,5.511818783
Dog,0,8.56712794,9.847335307
Werewolf,0,5.048956546,11.79303008
Cat,1,7.084120344,6.671744638
Dog,1,7.048014855,15.04781777
Werewolf,1,6.530033058,18.95213144
Cat,0,7.701643205,5.663469964
Dog,0,6.616049698,13.79784736
Werewolf,0,5.755684063,14.43068368
Cat,1,5.536404701,6.59260451
Dog,1,6.490699965,16.75665641
Werewolf,1,6.318141453,18.97856404
Cat,0,9.505624333,7.783554637
Dog,0,6.269550639,12.47177162
Werewolf,0,5.21353601,10.81908673
Cat,1,6.362660779,7.827431061
Dog,1,9.361918002,13.67837227
Werewolf,1,7.203760316,24.56981802
Cat,0,9.557563326,6.033547958
Dog,0,7.659640565,13.02624203
Werewolf,0,7.513919594,14.55872571
Cat,1,7.981575728,6.01184918
Dog,1,8.71110449,14.48818178
Werewolf,1,8.818828694,20.28407086
Cat,0,9.220536731,5.183999962
Dog,0,9.871493973,16.65100821
Werewolf,0,8.544081589,13.78433154
Cat,1,8.657355874,6.548074593
Dog,1,7.005782679,14.97761967
Werewolf,1,9.569084398,25.42520089
Cat,0,8.699466832,8.419157883
Dog,0,7.889124805,18.32106255
Werewolf,0,7.623234243,20.9049946
Cat,1,5.675933036,6.064079693
Dog,1,5.933690203,10.28559705
Werewolf,1,8.490327812,21.94751712
Cat,0,7.357434626,9.070400372
Dog,0,9.254018016,13.36083328
Werewolf,0,5.315224183,20.02010623
Cat,1,6.857336646,7.861202366
Dog,1,8.809934395,15.65740914
Werewolf,1,5.843961317,18.60162
Cat,0,6.924771806,7.282760573
Dog,0,7.781236935,14.53410042
Werewolf,0,7.957597536,16.78718372
Cat,1,8.594271024,5.925373202
Dog,1,5.868864988,13.66709805
Werewolf,1,9.064577032,27.37940112
Cat,0,8.602768067,6.355844923
Dog,0,7.001133349,14.31570113
Werewolf,0,9.79875401,19.0801779
Cat,1,9.548597384,6.615833087
Dog,1,6.822530374,12.95612611
Werewolf,1,7.499289586,18.93619997
Cat,0,5.240006577,8.049841735
Dog,0,9.245422096,14.18732062
Werewolf,0,9.609893821,17.69980423
Cat,1,8.089552926,4.827022976
Dog,1,8.633852538,18.47451515
Werewolf,1,8.832125135,22.59789588
Cat,0,5.172175184,8.508173365
Dog,0,5.087987574,15.3377774
Werewolf,0,5.956093099,11.70008118
Cat,1,9.870578877,8.022437515
Dog,1,7.944121858,12.84607097
Werewolf,1,6.077331157,21.30415027
Cat,0,5.100149395,5.342485475
Dog,0,8.823412817,11.30121427
Werewolf,0,5.049421404,19.39752842
Cat,1,9.994683576,8.569057446
Dog,1,7.837072202,15.19360405
Werewolf,1,8.4901752,20.49439322
Cat,0,9.496214579,5.654387791
Dog,0,9.216609547,12.54443703
Werewolf,0,9.944110134,22.94341948
Cat,1,5.74010848,10.01948593
Dog,1,7.100759825,12.72932084
Werewolf,1,8.237335596,21.74630602
Cat,0,9.100463899,4.25629587
Dog,0,9.915508869,18.70697829
Werewolf,0,8.471180328,15.62273029
Cat,1,8.060140669,8.326682739
Dog,1,8.401206298,11.31383556
Werewolf,1,6.773551742,20.59590456
Cat,0,6.534323847,5.170365361
Dog,0,7.818206397,13.54346763
Werewolf,0,9.300998379,17.81971926
Cat,1,9.015790321,7.836069539
Dog,1,9.866897068,8.332481989
Werewolf,1,7.645930194,21.22223865
Cat,0,6.697757774,7.667770067
Dog,0,9.782875224,14.12527531
Werewolf,0,7.763770608,20.17059371
Cat,1,8.318810107,6.621703907
Dog,1,5.536696893,11.95641201
Werewolf,1,6.252138346,19.85656607
Cat,0,9.194344496,8.065101917
Dog,0,5.753985973,16.25167885
Werewolf,0,7.061820169,20.60699227
Cat,1,9.749612162,7.082920342
Dog,1,9.695019362,15.93508809
Werewolf,1,7.863729497,18.27694983
Cat,0,6.103489601,7.968678773
Dog,0,7.194953432,17.4468653
Werewolf,0,5.473973502,8.150726011
Cat,1,6.68811319,5.154614188
Dog,1,8.708529945,11.62288461
Werewolf,1,9.087068749,22.72921354
Cat,0,9.323520695,3.183467341
Dog,0,6.412425838,14.28557575
Werewolf,0,7.537851439,19.30721834
Cat,1,8.233351565,9.722607581
Dog,1,6.449417758,15.30173827
Werewolf,1,6.893367228,18.46818575
Cat,0,6.663358827,5.547673419
Dog,0,6.052444128,15.91671743
Werewolf,0,8.458188433,20.23309714
Cat,1,7.918522789,5.348233553
Dog,1,6.715655319,11.82568376
Werewolf,1,8.027002699,19.70836414
Cat,0,9.074811469,5.393300029
Dog,0,5.436905606,12.99365843
Werewolf,0,5.518071829,11.76964425
Cat,1,7.712673641,7.792704283
Dog,1,8.07243594,11.82660721
Werewolf,1,6.363157846,16.24841746
Cat,0,6.842724881,4.533550463
Dog,0,9.69770016,18.18770556
Werewolf,0,5.242540269,21.55103369
Cat,1,6.960249719,6.026833028
Dog,1,6.558288403,15.34022189
Werewolf,1,6.427725583,16.94355901
Cat,0,7.536696153,5.682043074
Dog,0,8.307861605,14.95036095
Werewolf,0,5.960993132,17.09713532
Cat,1,7.845542436,6.043139296
Dog,1,9.641718985,15.28875846
Werewolf,1,6.15772457,15.78471912
Cat,0,6.502888221,3.881998292
Dog,0,8.442749388,20.23301405
Werewolf,0,8.37685697,16.08250222
Cat,1,9.488423576,7.136742759
Dog,1,9.524262462,18.44199563
Werewolf,1,6.989363308,19.62644607
Cat,0,7.869364379,5.866831995
Dog,0,6.910808206,15.2508995
Werewolf,0,8.427596765,14.48622575
Cat,1,8.971793735,6.540956073
Dog,1,5.077651465,14.82425102
Werewolf,1,5.746810487,17.47329788
Cat,0,5.959613087,8.265133821
Dog,0,6.850235754,17.19348966
Werewolf,0,7.856482501,16.85565893
Cat,1,8.949101184,6.695646444
Dog,1,7.767526492,13.63439305
Werewolf,1,8.715896759,26.73376254
Cat,0,7.803009931,9.3301318
Dog,0,6.613821135,15.3183918
Werewolf,0,8.006950859,15.5376557
Cat,1,7.922861853,7.745168652
Dog,1,6.732511242,17.88877999
Werewolf,1,6.218293372,19.31131345
Cat,0,6.752509451,4.115702032
Dog,0,6.837244006,17.16904413
Werewolf,0,6.503237225,18.60243409
Cat,1,7.936713306,5.765560734
Dog,1,5.01973941,8.792954629
Werewolf,1,5.834050999,14.40730315
Cat,0,7.644077933,6.135002171
Dog,0,7.891709723,15.68870697
Werewolf,0,8.659463918,17.48530016
Cat,1,5.596113477,5.065869351
Dog,1,9.089855776,11.73985795
Werewolf,1,5.143236534,22.03657795
Cat,0,5.73004351,6.075611055
Dog,0,8.911689983,16.01153834
Werewolf,0,9.037648026,16.04345273
Cat,1,6.25537349,4.788051386
Dog,1,7.846494431,13.23376284
Werewolf,1,9.306214122,21.0503737
Cat,0,7.394682521,7.314264773
Dog,0,7.771094276,14.65874539
Werewolf,0,6.429426315,14.42612488
Cat,1,8.093031396,5.733343155
Dog,1,9.697459502,14.62869948
Werewolf,1,9.013662361,23.29891411
Cat,0,7.96829976,6.218893046
Dog,0,9.03182709,13.20279159
Werewolf,0,7.20539652,17.02280288
Cat,1,9.629511794,7.041650703
Dog,1,9.969714461,13.72036968
Werewolf,1,8.633267186,23.7654219
Cat,0,6.082129811,10.10473302
Dog,0,8.286586907,13.30279296
Werewolf,0,7.923345355,15.53336031
Cat,1,6.65602766,5.544768786
Dog,1,9.456443978,9.364759905
Werewolf,1,5.244081684,16.85666127
Cat,0,8.048600549,5.461404588
